ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,CensusTractNo,County,State,ID Geography,Geoid10
2017,2017,0,Total,51905,9488,"Census Tract 810, Cook County, IL",810,Cook County,IL,14000US17031081000,17031081000
2017,2017,0,Total,72303,12271,"Census Tract 811, Cook County, IL",811,Cook County,IL,14000US17031081100,17031081100
2017,2017,0,Total,40750,15414,"Census Tract 8404, Cook County, IL",8404,Cook County,IL,14000US17031840400,17031840400
2017,2017,0,Total,63295,19053,"Census Tract 7202, Cook County, IL",7202,Cook County,IL,14000US17031720200,17031720200
2017,2017,0,Total,88088,13170,"Census Tract 812.01, Cook County, IL",812.01,Cook County,IL,14000US17031081201,17031081201
2017,2017,0,Total,57045,19546,"Census Tract 6401, Cook County, IL",6401,Cook County,IL,14000US17031640100,17031640100
2017,2017,0,Total,113798,24080,"Census Tract 812.02, Cook County, IL",812.02,Cook County,IL,14000US17031081202,17031081202
2017,2017,0,Total,45880,4302,"Census Tract 6309, Cook County, IL",6309,Cook County,IL,14000US17031630900,17031630900
2017,2017,0,Total,85938,12758,"Census Tract 813, Cook County, IL",813,Cook County,IL,14000US17031081300,17031081300
2017,2017,0,Total,62321,15809,"Census Tract 814.01, Cook County, IL",814.01,Cook County,IL,14000US17031081401,17031081401
2017,2017,0,Total,48056,11996,"Census Tract 8403, Cook County, IL",8403,Cook County,IL,14000US17031840300,17031840300
2017,2017,0,Total,42855,6422,"Census Tract 6308, Cook County, IL",6308,Cook County,IL,14000US17031630800,17031630800
2017,2017,0,Total,109801,38875,"Census Tract 814.02, Cook County, IL",814.02,Cook County,IL,14000US17031081402,17031081402
2017,2017,0,Total,102856,14909,"Census Tract 814.03, Cook County, IL",814.03,Cook County,IL,14000US17031081403,17031081403
2017,2017,0,Total,44063,6964,"Census Tract 6305, Cook County, IL",6305,Cook County,IL,14000US17031630500,17031630500
2017,2017,0,Total,103750,14485,"Census Tract 815, Cook County, IL",815,Cook County,IL,14000US17031081500,17031081500
